한자,훈/음 (1),훈/음 (2),훈/음 (3),부수,급수
墺,물가 오:,,,土,2급
荀,풀이름 순,,,艸,2급
腎,콩팥 신:,,,肉,2급
倻,가야 야,,,人,2급
燁,빛날 엽,,,火,2급
吳,성(姓) 오,,,口,2급
瑟,큰거문고 슬,,,玉,2급
瀋,즙낼 심:,물이름 심:,,水,2급
孃,아가씨 양,,,女,2급
盈,찰[滿] 영,,,皿,2급
鈺,보배 옥,,,金,2급
升,되 승,,,十,2급
握,쥘 악,,,手,2급
襄,도울 양(:),,,衣,2급
瑛,옥빛 영,,,玉,2급
沃,기름질 옥,,,水,2급
繩,노끈 승,,,糸,2급
閼,막을 알,,,門,2급
彦,선비 언:,,,彡,2급
暎,비칠 영:,,,日,2급
穩,편안할 온,,,禾,2급
屍,주검 시:,,,尸,2급
癌,암 암:,,,疒,2급
硯,벼루 연:,,,石,2급
預,맡길 예:,미리 예:,,頁,2급
甕,독 옹:,,,瓦,2급
柴,섶[薪] 시:,,,木,2급
鴨,오리 압,,,鳥,2급
衍,넓을 연:,,,行,2급
芮,성(姓) 예:,,,艸,2급
雍,화(和)할 옹,,,隹,2급
邕,막힐 옹,,,邑,2급
熔,녹을 용,,,火,2급
昱,햇빛밝을 욱,,,日,2급
袁,성(姓) 원,,,衣,2급
允,맏[伯] 윤:,,,儿,2급
莞,빙그레할 완,왕골 관,,艸,2급
傭,품팔 용,,,人,2급
煜,빛날 욱,,,火,2급
媛,계집 원,,,女,2급
胤,자손 윤,,,肉,2급
汪,넓을 왕(:),,,水,2급
瑢,패옥소리 용,,,玉,2급
郁,성할 욱,,,邑,2급
尉,벼슬 위,,,寸,2급
鈗,창 윤,,,金,2급
旺,왕성할 왕:,,,日,2급
溶,녹을 용,,,水,2급
頊,삼갈 욱,,,頁,2급
渭,물이름 위,,,水,2급
尹,성(姓) 윤:,,,尸,2급
歪,기울 왜,기울 외,,止,2급
鎔,쇠녹일 용,,,金,2급
芸,향풀 운,,,艸,2급
韋,가죽 위,,,韋,2급
融,녹을 융,,,虫,2급
倭,왜나라 왜,,,人,2급
鏞,쇠북 용,,,金,2급
鬱,답답할 울,,,鬯,2급
魏,성(姓) 위,,,鬼,2급
垠,지경 은,,,土,2급
妖,요사할 요,,,女,2급
佑,도울 우:,,,人,2급
蔚,고을이름 울,,,艸,2급
庾,곳집 유,노적가리 유,,广,2급
誾,향기 은,,,言,2급
姚,예쁠 요,,,女,2급
禹,성(姓) 우(:),,,禸,2급
熊,곰 웅,,,火,2급
兪,대답할 유,인월도(人月刂) 유,,入,2급
殷,은나라 은,,,殳,2급
堯,요임금 요,,,土,2급
祐,복(福) 우:,,,示,2급
苑,나라동산 원:,,,艸,2급
踰,넘을 유,,,足,2급
鷹,매 응(:),,,鳥,2급
耀,빛날 요,,,羽,2급
旭,아침해 욱,,,日,2급
瑗,구슬 원,,,玉,2급
楡,느릅나무 유,,,木,2급
貳,두 이:,갖은두 이:,,貝,2급
怡,기쁠 이,,,心,2급
諮,물을 자:,,,言,2급
艇,배 정,,,舟,2급
珽,옥이름 정,,,玉,2급
駐,머무를 주:,,,馬,2급
伊,저[彼] 이,,,人,2급
雌,암컷 자,,,隹,2급
偵,염탐할 정,,,人,2급
劑,약제 제,,,刀,2급
疇,이랑 주,,,田,2급
珥,귀고리 이:,,,玉,2급
滋,불을[益] 자,,,水,2급
呈,드릴 정,,,口,2급
措,둘[置] 조,,,手,2급
准,비준 준:,,,冫,2급
翊,도울 익,,,羽,2급
蠶,누에 잠,,,虫,2급
汀,물가 정,,,水,2급
釣,낚을 조:,낚시 조:,,金,2급
駿,준마 준:,,,馬,2급
刃,칼날 인:,,,刀,2급
獐,노루 장,,,犬,2급
楨,광나무 정,,,木,2급
彫,새길 조,,,彡,2급
濬,깊을 준:,,,水,2급
壹,한 일,갖은한 일,,士,2급
庄,전장(田莊) 장,,,广,2급
晶,맑을 정,,,日,2급
趙,나라 조:,,,走,2급
浚,깊게할 준:,,,水,2급
佾,줄춤 일,,,人,2급
璋,홀[圭] 장,,,玉,2급
鼎,솥 정,,,鼎,2급
曺,성(姓) 조,,,曰,2급
晙,밝을 준:,,,日,2급
鎰,무게이름 일,,,金,2급
蔣,성(姓) 장,,,艸,2급
鄭,나라 정:,,,邑,2급
祚,복(福) 조,,,示,2급
峻,높을 준:,준엄할 준:,,山,2급
妊,아이밸 임:,,,女,2급
沮,막을[遮] 저:,,,水,2급
禎,상서로울 정,,,示,2급
綜,모을 종,,,糸,2급
埈,높을 준:,,,土,2급
磁,자석 자,,,石,2급
甸,경기 전,,,田,2급
旌,기 정,,,方,2급
琮,옥홀 종,,,玉,2급
脂,기름 지,,,肉,2급
旨,뜻 지,,,日,2급
窒,막힐 질,,,穴,2급
斬,벨 참(:),,,斤,2급
陟,오를 척,,,阜,2급
楚,초나라 초,,,木,2급
芝,지초 지,,,艸,2급
輯,모을 집,,,車,2급
滄,큰바다 창,,,水,2급
釧,팔찌 천,,,金,2급
蜀,나라이름 촉,,,虫,2급
址,터 지,,,土,2급
遮,가릴 차(:),,,辵,2급
彰,드러날 창,,,彡,2급
撤,거둘 철,,,手,2급
崔,성(姓) 최,높을 최,,山,2급
稷,피[穀名] 직,,,禾,2급
餐,밥 찬,,,食,2급
敞,시원할 창,,,攴,2급
澈,맑을 철,,,水,2급
趨,달아날 추,,,走,2급
稙,올벼 직,,,禾,2급
瓚,옥잔 찬,,,玉,2급
昶,해길 창:,,,日,2급
喆,밝을 철,쌍길[吉] 철,,口,2급
鄒,추나라 추,,,邑,2급
診,진찰할 진,,,言,2급
鑽,뚫을 찬,,,金,2급
埰,사패지(賜牌地) 채:,,,土,2급
瞻,볼 첨,,,目,2급
楸,가래 추,,,木,2급
津,나루 진(:),,,水,2급
璨,옥빛 찬:,,,玉,2급
采,풍채 채:,,,釆,2급
諜,염탐할 첩,,,言,2급
蹴,찰 축,,,足,2급
塵,티끌 진,,,土,2급
燦,빛날 찬:,,,火,2급
蔡,성(姓) 채:,,,艸,2급
締,맺을 체,,,糸,2급
軸,굴대 축,,,車,2급
秦,성(姓) 진,,,禾,2급
刹,절 찰,,,刀,2급
悽,슬퍼할 처:,,,心,2급
哨,망볼 초,,,口,2급
椿,참죽나무 춘,,,木,2급
晋,진나라 진:,,,日,2급
札,편지 찰,,,木,2급
隻,외짝 척,,,隹,2급
焦,탈[燥] 초,,,火,2급
衷,속마음 충,,,衣,2급
沖,화(和)할 충,,,水,2급
胎,아이밸 태,,,肉,2급
鋪,펼 포,가게 포,,金,2급
沆,넓을 항:,,,水,2급
陜,좁을 협,땅이름 합,,阜,2급
炊,불땔 취:,,,火,2급
兌,바꿀 태,기쁠 태,,儿,2급
抛,던질 포:,,,手,2급
亢,높을 항,,,亠,2급
型,모형 형,,,土,2급
聚,모을 취:,,,耳,2급
台,별 태,,,口,2급
鮑,절인물고기 포:,,,魚,2급
杏,살구 행:,,,木,2급
馨,꽃다울 형,,,香,2급
峙,언덕 치,,,山,2급
坡,언덕 파,,,土,2급
葡,포도 포,,,艸,2급
爀,불빛 혁,,,火,2급
邢,성(姓) 형,,,邑,2급
雉,꿩 치,,,隹,2급
阪,언덕 판,,,阜,2급
杓,북두자루 표,,,木,2급
赫,빛날 혁,,,赤,2급
瑩,밝을 형,옥돌 영,,玉,2급
琢,다듬을 탁,,,玉,2급
霸,으뜸 패:,,,雨,2급
弼,도울 필,,,弓,2급
弦,시위 현,,,弓,2급
炯,빛날 형,,,火,2급
託,부탁할 탁,,,言,2급
彭,성(姓) 팽,,,彡,2급
虐,모질 학,,,虍,2급
峴,고개 현:,,,山,2급
瀅,물맑을 형:,,,水,2급
灘,여울 탄,,,水,2급
扁,작을 편,,,戶,2급
翰,편지 한:,,,羽,2급
鉉,솥귀 현,,,金,2급
濠,호주 호,,,水,2급
耽,즐길 탐,,,耳,2급
坪,들[野] 평,,,土,2급
邯,조(趙)나라서울 한,사람이름 감,,邑,2급
炫,밝을 현:,,,火,2급
壕,해자 호,,,土,2급
颱,태풍 태,,,風,2급
怖,두려워할 포,,,心,2급
艦,큰 배 함:,,,舟,2급
峽,골짜기 협,,,山,2급
扈,따를 호:,,,戶,2급
昊,하늘 호:,,,日,2급
嬅,탐스러울 화,,,女,2급
喉,목구멍 후,,,口,2급
熙,빛날 희,,,火,2급
鎬,호경 호:,,,金,2급
幻,헛보일 환:,,,幺,2급
后,임금 후:,왕후 후:,,口,2급
姬,계집 희,,,女,2급
澔,넓을 호:,,,水,2급
煥,빛날 환:,,,火,2급
勳,공(功) 훈,,,力,2급
噫,한숨쉴 희,,,口,2급
皓,흴[白] 호,,,白,2급
桓,굳셀 환,,,木,2급
熏,불길 훈,,,火,2급
熹,빛날 희,,,火,2급
祜,복(福) 호,,,示,2급
滑,미끄러울 활,익살스러울 골,,水,2급
薰,향풀 훈,,,艸,2급
憙,기뻐할 희,,,心,2급
晧,밝을 호:,,,日,2급
晃,밝을 황,,,日,2급
壎,질나팔 훈,,,土,2급
嬉,아름다울 희,,,女,2급
酷,심할 혹,,,酉,2급
滉,깊을 황,,,水,2급
徽,아름다울 휘,,,彳,2급
羲,복희(伏羲) 희,,,羊,2급
泓,물깊을 홍,,,水,2급
廻,돌[旋] 회,,,廴,2급
烋,아름다울 휴,,,火,2급
禧,복(福) 희,,,示,2급
靴,"신[履, 鞋] 화",,,革,2급
淮,물이름 회,,,水,2급
匈,오랑캐 흉,,,勹,2급
樺,벚나무 화,자작나무 화,,木,2급
檜,전나무 회:,,,木,2급
欽,공경할 흠,,,欠,2급
嘉,아름다울 가,,,口,1급
奸,간사할 간,,,女,1급
褐,갈색 갈,굵은베 갈,,衣,1급
慷,슬플 강:,,,心,1급
渠,개천 거,,,水,1급
呵,꾸짖을 가:,,,口,1급
墾,개간할 간,,,土,1급
堪,견딜 감,,,土,1급
糠,겨 강,,,米,1급
倨,거만할 거:,,,人,1급
嫁,시집갈 가,,,女,1급
澗,산골물 간:,,,水,1급
柑,귤 감,,,木,1급
薑,생강 강,,,艸,1급
巾,수건 건,,,巾,1급
稼,심을 가,,,禾,1급
癎,간질 간(:),,,疒,1급
疳,감질 감,,,疒,1급
愾,성낼 개:,,,心,1급
腱,힘줄 건,,,肉,1급
苛,가혹할 가:,,,艸,1급
竿,낚싯대 간,,,竹,1급
瞰,굽어볼 감,,,目,1급
漑,물댈 개:,,,水,1급
虔,공경할 건:,,,虍,1급
袈,가사(袈裟) 가,,,衣,1급
艱,어려울 간,,,艮,1급
紺,감색 감,연보라 감,,糸,1급
凱,개선할 개:,,,几,1급
怯,겁낼 겁,,,心,1급
駕,멍에 가(:),,,馬,1급
諫,간할 간:,,,言,1급
勘,헤아릴 감,,,力,1급
箇,낱 개(:),,,竹,1급
劫,위협할 겁,,,力,1급
哥,성(姓) 가,,,口,1급
揀,가릴 간:,,,手,1급
匣,갑(匣) 갑,,,匚,1급
芥,겨자 개,,,艸,1급
偈,불시(佛詩) 게:,,,人,1급
恪,삼갈 각,,,心,1급
喝,꾸짖을 갈,,,口,1급
閘,수문 갑,,,門,1급
羹,국 갱:,,,羊,1급
檄,격문(檄文) 격,,,木,1급
殼,껍질 각,,,殳,1급
竭,다할 갈,,,立,1급
腔,속빌 강,,,肉,1급
醵,추렴할 거:,추렴할 갹,,酉,1급
膈,가슴 격,,,肉,1급
覡,박수[男巫] 격,,,見,1급
磬,경쇠 경:,,,石,1급
呱,울 고,,,口,1급
鞏,굳을 공,,,革,1급
括,묶을 괄,,,手,1급
繭,고치 견:,,,糸,1급
痙,경련(痙攣) 경,,,疒,1급
膏,기름 고,,,肉,1급
拱,팔짱낄 공:,,,手,1급
曠,빌 광:,,,日,1급
譴,꾸짖을 견:,,,言,1급
梗,줄기 경:,막힐 경,,木,1급
痼,고질 고,,,疒,1급
顆,낱알 과,,,頁,1급
壙,뫼구덩이 광:,,,土,1급
鵑,두견새 견,,,鳥,1급
悸,두근거릴 계:,,,心,1급
錮,막을 고,,,金,1급
廓,둘레 곽,클 확,,广,1급
匡,바룰 광,,,匚,1급
勁,굳셀 경,,,力,1급
敲,두드릴 고,,,攴,1급
梏,수갑 곡,,,木,1급
槨,외관(外棺) 곽,,,木,1급
胱,오줌통 광,,,肉,1급
鯨,고래 경,,,魚,1급
辜,허물 고,,,辛,1급
鵠,고니 곡,과녁 곡,,鳥,1급
藿,콩잎 곽,미역 곽,,艸,1급
罫,줄[罫線] 괘,,,网,1급
憬,깨달을 경:,동경할 경:,,心,1급
袴,바지 고:,,,衣,1급
昆,맏 곤,,,日,1급
棺,널 관,,,木,1급
卦,점괘 괘,,,卜,1급
頸,목 경,,,頁,1급
拷,칠 고,,,手,1급
棍,몽둥이 곤,,,木,1급
顴,광대뼈 관,,,頁,1급
拐,후릴 괴,,,手,1급
莖,줄기 경,,,艸,1급
叩,두드릴 고,,,口,1급
袞,곤룡포 곤:,,,衣,1급
灌,물댈 관,,,水,1급
魁,괴수 괴,,,鬼,1급
脛,정강이 경,,,肉,1급
股,넓적다리 고,,,肉,1급
汨,골몰할 골,물이름 멱,,水,1급
刮,긁을 괄,,,刀,1급
乖,어그러질 괴,,,丿,1급
肱,팔뚝 굉,,,肉,1급
狡,교활할 교,,,犬,1급
仇,원수 구,,,人,1급
謳,노래 구,,,言,1급
詭,속일 궤:,,,言,1급
轟,울릴 굉,수레소리 굉,,車,1급
嬌,아리따울 교,,,女,1급
垢,때 구,,,土,1급
嶇,험할 구,,,山,1급
几,안석 궤:,,,几,1급
宏,클 굉,,,宀,1급
矩,모날 구,법 구,,矢,1급
衢,네거리 구,,,行,1급
窘,군색할 군:,,,穴,1급
櫃,궤짝 궤:,,,木,1급
攪,흔들 교,,,手,1급
駒,망아지 구,,,馬,1급
鉤,갈고리 구,,,金,1급
躬,몸 궁,,,身,1급
机,책상 궤:,,,木,1급
咬,물[齧] 교,새소리 교,,口,1급
鳩,비둘기 구,,,鳥,1급
臼,절구 구,,,臼,1급
穹,하늘 궁,,,穴,1급
逵,길거리 규,,,辵,1급
喬,높을 교,,,口,1급
舅,시아비 구,외삼촌 구,,臼,1급
毆,때릴 구,,,殳,1급
眷,돌볼 권:,,,目,1급
葵,아욱 규,해바라기 규,,艸,1급
驕,교만할 교,,,馬,1급
枸,구기자(枸杞子) 구,,,木,1급
溝,도랑 구,,,水,1급
捲,거둘 권,말 권,,手,1급
窺,엿볼 규,,,穴,1급
轎,가마 교,,,車,1급
廏,마구 구,,,广,1급
灸,뜸 구:,,,火,1급
倦,게으를 권:,,,人,1급
硅,규소 규,,,石,1급
蛟,교룡(蛟龍) 교,,,虫,1급
寇,도적 구,,,宀,1급
軀,몸 구,,,身,1급
蹶,일어설 궐,넘어질 궐,,足,1급
橘,귤 귤,,,木,1급
皎,달밝을 교,,,白,1급
嘔,게울 구(:),,,口,1급
柩,널[棺] 구,,,木,1급
潰,무너질 궤:,,,水,1급
隙,틈 극,,,阜,1급
剋,이길 극,,,刀,1급
矜,자랑할 긍:,,,矛,1급
羈,굴레 기,나그네 기,,网,1급
捏,꾸밀 날,,,手,1급
訥,말더듬거릴 눌,,,言,1급
戟,창 극,,,戈,1급
亘,뻗칠 긍:,베풀 선,,二,1급
嗜,즐길 기,,,口,1급
捺,누를 날,,,手,1급
紐,맺을 뉴,,,糸,1급
棘,가시 극,,,木,1급
譏,비웃을 기,,,言,1급
畸,뙈기밭 기,불구(不具) 기,,田,1급
衲,기울[縫] 납,,,衣,1급
匿,숨길 닉,,,匸,1급
饉,주릴 근:,,,食,1급
肌,살[膚肉] 기,,,肉,1급
拮,일할 길,,,手,1급
囊,주머니 낭,,,口,1급
蛋,새알 단:,,,虫,1급
覲,뵐 근,,,見,1급
綺,비단 기,,,糸,1급
喫,먹을 끽,,,口,1급
撚,비빌 년,,,手,1급
簞,소쿠리 단,,,竹,1급
襟,옷깃 금:,,,衣,1급
杞,구기자(枸杞子) 기,,,木,1급
拏,잡을 나:,,,手,1급
涅,열반(涅槃) 녈,,,水,1급
緞,비단 단,,,糸,1급
擒,사로잡을 금,,,手,1급
朞,돌 기,,,月,1급
懦,나약할 나:,,,心,1급
弩,쇠뇌 노,,,弓,1급
撻,때릴 달,,,手,1급
衾,이불 금:,,,衣,1급
崎,험할 기,,,山,1급
拿,잡을[拏同] 나:,,,手,1급
駑,둔한말 노,,,馬,1급
疸,황달 달,,,疒,1급
扱,거둘 급,꽂을 삽,,手,1급
妓,기생 기:,,,女,1급
儺,푸닥거리 나,,,人,1급
膿,고름 농,,,肉,1급
憺,참담할 담,,,心,1급
汲,물길을 급,,,水,1급
伎,재간 기,,,人,1급
煖,더울 난:,,,火,1급
撓,휠 뇨:,,,手,1급
曇,흐릴 담,,,日,1급
澹,맑을 담,,,水,1급
鍍,도금할 도:,,,金,1급
堵,담 도,,,土,1급
痘,역질 두,,,疒,1급
酪,쇠젖 락,,,酉,1급
痰,가래 담:,,,疒,1급
蹈,밟을 도,,,足,1급
滔,물넘칠 도,,,水,1급
臀,볼기 둔,,,肉,1급
瀾,물결 란,,,水,1급
譚,클 담,말씀 담,,言,1급
賭,내기 도,,,貝,1급
禿,대머리 독,,,禾,1급
遁,숨을 둔:,,,辵,1급
鸞,난새 란,,,鳥,1급
遝,뒤섞일 답,,,辵,1급
萄,포도 도,,,艸,1급
瀆,도랑 독,더럽힐 독,,水,1급
橙,귤 등,걸상 등,,木,1급
剌,발랄할 랄,,,刀,1급
撞,칠 당,,,手,1급
禱,빌 도,,,示,1급
沌,엉길 돈,,,水,1급
邏,순라 라,,,辵,1급
辣,매울 랄,,,辛,1급
棠,아가위 당,,,木,1급
睹,볼 도,,,目,1급
疼,아플 동:,,,疒,1급
螺,소라 라,,,虫,1급
籃,대바구니 람,,,竹,1급
螳,버마재비(사마귀) 당,,,虫,1급
濤,물결 도,,,水,1급
瞳,눈동자 동:,,,目,1급
懶,게으를 라:,,,心,1급
蠟,밀 랍,,,虫,1급
擡,들[擧] 대,,,手,1급
屠,죽일 도,,,尸,1급
胴,큰창자 동,몸통 동,,肉,1급
癩,문둥이 라:,,,疒,1급
臘,섣달 랍,,,肉,1급
袋,자루 대,,,衣,1급
淘,쌀일 도,,,水,1급
憧,동경할 동:,,,心,1급
駱,낙타 락,,,馬,1급
狼,이리 랑:,,,犬,1급
搗,찧을 도,,,手,1급
掉,흔들 도,,,手,1급
兜,투구 두,도솔천(兜率天) 도,,儿,1급
烙,지질 락,,,火,1급
倆,재주 량,,,人,1급
粱,기장 량,,,米,1급
殮,염(殮)할 렴:,,,歹,1급
碌,푸른돌 록,,,石,1급
聊,애오라지 료,,,耳,1급
綸,벼리 륜,,,糸,1급
侶,짝 려:,,,人,1급
簾,발 렴,,,竹,1급
壟,밭두둑 롱:,,,土,1급
寥,쓸쓸할 료,,,宀,1급
慄,떨릴 률,,,心,1급
戾,어그러질 려:,,,戶,1급
齡,나이 령,,,齒,1급
聾,귀먹을 롱,,,耳,1급
寮,동관(同官) 료,,,宀,1급
肋,갈빗대 륵,,,肉,1급
濾,거를 려:,,,水,1급
囹,옥(獄) 령,,,囗,1급
瓏,옥소리 롱,,,玉,1급
壘,보루 루,,,土,1급
勒,굴레 륵,,,力,1급
閭,마을 려,,,門,1급
逞,쾌할 령,,,辵,1급
賂,뇌물 뢰,,,貝,1급
陋,더러울 루:,,,阜,1급
凜,찰 름,,,冫,1급
黎,검을 려,,,黍,1급
鈴,방울 령,,,金,1급
磊,돌무더기 뢰,,,石,1급
琉,유리 류,,,玉,1급
稜,모날 릉,,,禾,1급
瀝,스밀 력,,,水,1급
虜,사로잡을 로,,,虍,1급
牢,우리[畜舍] 뢰,,,牛,1급
溜,처마물 류,,,水,1급
綾,비단 릉,,,糸,1급
礫,조약돌 력,,,石,1급
擄,노략질할 로,,,手,1급
儡,꼭두각시 뢰:,,,人,1급
瘤,혹 류:,,,疒,1급
凌,업신여길 릉,,,冫,1급
輦,가마 련,,,車,1급
撈,건질 로,,,手,1급
燎,횃불 료,,,火,1급
戮,죽일 륙,,,戈,1급
菱,마름 릉,,,艸,1급
斂,거둘 렴:,,,攴,1급
麓,산기슭 록,,,鹿,1급
瞭,밝을 료,,,目,1급
淪,빠질 륜,,,水,1급
悧,영리할 리,,,心,1급
籬,울타리 리,,,竹,1급
淋,임질 림,,,水,1급
挽,당길 만:,,,手,1급
呆,어리석을 매,,,口,1급
螟,멸구 명,,,虫,1급
釐,다스릴 리,,,里,1급
笠,삿갓 립,,,竹,1급
瞞,속일 만,,,目,1급
昧,어두울 매,,,日,1급
暝,저물 명,,,日,1급
俚,속될 리:,,,人,1급
粒,낟알 립,,,米,1급
抹,지울 말,,,手,1급
寐,잘 매:,,,宀,1급
酩,술취할 명:,,,酉,1급
裡,속 리:,,,衣,1급
寞,고요할 막,,,宀,1급
沫,물거품 말,,,水,1급
萌,움[芽] 맹,,,艸,1급
袂,소매 몌,,,衣,1급
痢,이질 리:,,,疒,1급
輓,끌 만:,애도할 만:,,車,1급
襪,버선 말,,,衣,1급
棉,목화 면,,,木,1급
摸,더듬을 모,,,手,1급
罹,걸릴 리,,,网,1급
饅,만두 만,,,食,1급
芒,까끄라기 망,,,艸,1급
眄,곁눈질할 면:,,,目,1급
牡,수컷 모,,,牛,1급
吝,아낄 린,,,口,1급
蔓,덩굴 만,,,艸,1급
惘,멍할 망,,,心,1급
緬,멀 면(:),,,糸,1급
糢,모호할 모,,,米,1급
鱗,비늘 린,,,魚,1급
鰻,뱀장어 만,,,魚,1급
煤,그을음 매,,,火,1급
麪,국수 면,,,麥,1급
耗,소모할 모,,,耒,1급
燐,도깨비불 린,,,火,1급
卍,만(卍) 만:,,,十,1급
罵,꾸짖을 매:,,,网,1급
溟,바다 명,,,水,1급
歿,죽을 몰,,,歹,1급
躪,짓밟을 린,,,足,1급
彎,굽을 만,,,弓,1급
邁,갈[行] 매,,,辵,1급
皿,그릇 명:,,,皿,1급
猫,고양이 묘:,,,犬,1급
描,그릴 묘:,,,手,1급
誣,속일 무:,,,言,1급
箔,발[簾] 박,,,竹,1급
絆,얽어맬 반,,,糸,1급
潑,물뿌릴 발,,,水,1급
杳,아득할 묘,,,木,1급
蚊,모기 문,,,虫,1급
撲,칠[擊] 박,,,手,1급
畔,밭두둑 반,,,田,1급
撥,다스릴 발,,,手,1급
渺,아득할 묘:,물질펀할 묘:,,水,1급
靡,쓰러질 미,,,非,1급
剝,벗길 박,,,刀,1급
蟠,서릴 반,,,虫,1급
彷,헤맬 방(:),,,彳,1급
巫,무당 무:,,,工,1급
薇,장미 미,,,艸,1급
珀,호박(琥珀) 박,,,玉,1급
頒,나눌 반,,,頁,1급
尨,삽살개 방,,,尢,1급
蕪,거칠 무,,,艸,1급
媚,아첨할 미,예쁠 미,,女,1급
樸,순박할 박,,,木,1급
攀,더위잡을 반,,,手,1급
謗,헐뜯을 방:,,,言,1급
畝,이랑 무:,이랑 묘:,,田,1급
悶,답답할 민,,,心,1급
粕,지게미 박,,,米,1급
拌,버릴 반,,,手,1급
坊,동네 방,,,土,1급
毋,말[勿] 무,,,毋,1급
謐,고요할 밀,,,言,1급
駁,논박할 박,,,馬,1급
跋,밟을 발,,,足,1급
膀,오줌통 방,,,肉,1급
撫,어루만질 무(:),,,手,1급
膊,팔뚝 박,,,肉,1급
槃,쟁반 반,,,木,1급
勃,노할 발,,,力,1급
幇,도울 방,,,巾,1급
拇,엄지손가락 무:,,,手,1급
搏,두드릴 박,,,手,1급
斑,아롱질 반,,,文,1급
魃,가물 발,,,鬼,1급
昉,밝을 방,,,日,1급
憮,어루만질 무:,,,心,1급
縛,얽을 박,,,糸,1급
礬,백반 반,,,石,1급
醱,술괼 발,,,酉,1급
肪,기름 방,,,肉,1급
榜,방(榜)붙일 방:,,,木,1급
帆,돛 범:,,,巾,1급
瞥,눈깜짝할 별,,,目,1급
鋒,칼날 봉,,,金,1급
埠,부두 부:,,,土,1급
枋,다목 방,,,木,1급
梵,불경 범:,,,木,1급
甁,병 병,,,瓦,1급
烽,봉화 봉,,,火,1급
咐,분부할 부,불[吹] 부,,口,1급
陪,모실 배:,,,阜,1급
氾,넘칠 범:,,,水,1급
餠,떡 병:,,,食,1급
捧,받들 봉,,,手,1급
剖,쪼갤 부:,,,刀,1급
胚,아기밸 배,,,肉,1급
泛,뜰 범:,,,水,1급
菩,보살 보,,,艸,1급
棒,막대 봉,,,木,1급
俯,구부릴 부:,,,人,1급
湃,물결칠 배,,,水,1급
癖,버릇 벽,,,疒,1급
堡,작은성 보:,,,土,1급
賻,부의 부:,,,貝,1급
孵,알깔 부,,,子,1급
徘,어정거릴 배,,,彳,1급
劈,쪼갤 벽,,,刀,1급
洑,보 보,스며흐를 복,,水,1급
駙,부마 부:,,,馬,1급
扮,꾸밀 분,,,手,1급
魄,넋 백,,,鬼,1급
闢,열 벽,,,門,1급
鰒,전복 복,,,魚,1급
訃,부고 부:,,,言,1급
雰,눈날릴 분,,,雨,1급
帛,비단 백,,,巾,1급
擘,엄지손가락 벽,,,手,1급
