한자,훈/음 (1),훈/음 (2),훈/음 (3),부수,급수
僕,종 복,,,人,1급
芙,연꽃 부,,,艸,1급
盆,동이 분,,,皿,1급
藩,울타리 번,,,艸,1급
璧,구슬 벽,,,玉,1급
匐,길 복,,,勹,1급
腑,육부(六腑) 부,,,肉,1급
焚,불사를 분,,,火,1급
蕃,불을 번,,,艸,1급
鼈,자라 별,,,黽,1급
輻,바퀴살 복,바퀴살 폭,,車,1급
斧,도끼 부,,,斤,1급
吩,분부할 분:,,,口,1급
噴,뿜을 분,,,口,1급
鄙,더러울 비:,,,邑,1급
沸,끓을 비:,용솟음할 불,,水,1급
瀕,물가 빈,가까울 빈,,水,1급
瀉,쏟을 사(:),,,水,1급
忿,성낼 분:,,,心,1급
譬,비유할 비:,,,言,1급
憊,고단할 비:,,,心,1급
憑,비길[依] 빙,,,心,1급
獅,사자 사(:),,,犬,1급
糞,똥 분,,,米,1급
裨,도울 비,,,衣,1급
匕,비수 비:,,,匕,1급
些,적을 사,,,二,1급
蓑,도롱이 사,,,艸,1급
彿,비슷할 불,,,彳,1급
臂,팔 비:,,,肉,1급
蜚,바퀴 비,날[飛] 비,,虫,1급
麝,사향노루 사:,,,鹿,1급
疝,산증(疝症) 산,,,疒,1급
棚,사다리 붕,,,木,1급
脾,지라 비(:),,,肉,1급
庇,덮을 비:,,,广,1급
祠,사당 사,,,示,1급
珊,산호 산,,,玉,1급
硼,붕사(硼砂) 붕,,,石,1급
翡,물총새 비:,,,羽,1급
緋,비단 비:,,,糸,1급
紗,비단 사,,,糸,1급
刪,깎을 산,,,刀,1급
繃,묶을 붕,,,糸,1급
扉,사립문 비,,,戶,1급
殯,빈소 빈,,,歹,1급
嗣,이을 사:,,,口,1급
撒,뿌릴 살,,,手,1급
誹,헐뜯을 비,,,言,1급
秕,쭉정이 비:,,,禾,1급
濱,물가 빈,,,水,1급
奢,사치할 사,,,大,1급
煞,죽일 살,,,火,1급
砒,비상 비:,,,石,1급
痺,저릴 비,,,疒,1급
嬪,궁녀벼슬이름 빈,,,女,1급
娑,춤출 사,사바세상 사,,女,1급
薩,보살 살,,,艸,1급
妣,죽은어미 비,,,女,1급
琵,비파 비,,,玉,1급
嚬,찡그릴 빈,,,口,1급
徙,옮길 사:,,,彳,1급
滲,스밀 삼,,,水,1급
澁,떫을 삽,,,水,1급
棲,깃들일 서:,,,木,1급
煽,부채질할 선,,,火,1급
閃,번쩍일 섬,,,門,1급
甦,깨어날 소,,,生,1급
爽,시원할 상:,,,爻,1급
犀,무소 서:,,,牛,1급
銑,무쇠 선,,,金,1급
殲,다죽일 섬,,,歹,1급
梳,얼레빗 소,,,木,1급
翔,날[飛] 상,,,羽,1급
胥,서로 서,,,肉,1급
膳,선물 선:,반찬 선:,,肉,1급
醒,깰 성,,,酉,1급
宵,밤[夜] 소,,,宀,1급
觴,잔 상,,,角,1급
薯,감자 서:,,,艸,1급
羨,부러워할 선:,무덤길 연:,,羊,1급
簫,퉁소 소,,,竹,1급
搔,긁을 소,,,手,1급
孀,홀어미 상,,,女,1급
黍,기장 서:,,,黍,1급
扇,부채 선,,,戶,1급
塑,흙빚을 소,,,土,1급
贖,속죄할 속,,,貝,1급
璽,옥새(玉璽) 새,,,玉,1급
嶼,섬 서(:),,,山,1급
腺,샘 선,,,肉,1급
遡,거스를 소,,,辵,1급
遜,겸손할 손:,,,辵,1급
嗇,아낄 색,,,口,1급
曙,새벽 서:,,,日,1급
屑,가루 설,,,尸,1급
逍,노닐 소,,,辵,1급
悚,두려울 송:,,,心,1급
牲,희생 생,,,牛,1급
鼠,쥐 서:,,,鼠,1급
泄,샐 설,,,水,1급
蕭,쓸쓸할 소,,,艸,1급
碎,부술 쇄:,,,石,1급
甥,생질 생,,,生,1급
壻,사위 서:,,,士,1급
洩,샐 설,퍼질 예,,水,1급
瘙,피부병 소,,,疒,1급
灑,뿌릴 쇄:,,,水,1급
抒,풀 서:,,,手,1급
潟,개펄 석,,,水,1급
渫,파낼 설,,,水,1급
疎,성길 소,,,疋,1급
蒐,모을 수,,,艸,1급
嫂,형수 수,,,女,1급
穗,이삭 수,,,禾,1급
丞,정승 승,,,一,1급
拭,씻을 식,,,手,1급
什,열사람 십,세간 집,,人,1급
戍,수자리 수,,,戈,1급
瘦,여윌 수,,,疒,1급
柿,감 시:,,,木,1급
薪,섶 신,,,艸,1급
訝,의심할 아,,,言,1급
髓,뼛골 수,,,骨,1급
讎,원수 수,,,言,1급
匙,숟가락 시:,,,匕,1급
迅,빠를 신,,,辵,1급
衙,마을[官廳] 아,,,行,1급
酬,갚을 수,,,酉,1급
夙,이를 숙,,,夕,1급
媤,시집 시,,,女,1급
蜃,큰조개 신,,,虫,1급
啞,벙어리 아(:),,,口,1급
袖,소매 수,,,衣,1급
菽,콩 숙,,,艸,1급
弑,윗사람죽일 시:,,,弋,1급
燼,불탄끝 신:,,,火,1급
俄,아까 아,,,人,1급
羞,부끄러울 수,,,羊,1급
塾,글방 숙,,,土,1급
猜,시기할 시,,,犬,1급
宸,대궐 신,,,宀,1급
堊,흰흙 악,,,土,1급
狩,사냥할 수,,,犬,1급
醇,전국술 순,,,酉,1급
諡,시호 시:,,,言,1급
娠,아이밸 신,,,女,1급
愕,놀랄 악,,,心,1급
繡,수놓을 수:,,,糸,1급
筍,죽순 순,,,竹,1급
豺,승냥이 시:,,,豸,1급
呻,읊조릴 신,,,口,1급
顎,턱 악,,,頁,1급
粹,순수할 수,,,米,1급
馴,길들일 순,,,馬,1급
熄,불꺼질 식,,,火,1급
訊,물을 신:,,,言,1급
晏,늦을 안:,,,日,1급
竪,세울 수,,,立,1급
膝,무릎 슬,,,肉,1급
蝕,좀먹을 식,,,虫,1급
悉,다 실,,,心,1급
鞍,안장 안:,,,革,1급
按,누를 안(:),,,手,1급
曖,희미할 애,,,日,1급
爺,아비 야,,,父,1급
臆,가슴 억,,,肉,1급
椽,서까래 연,,,木,1급
斡,돌 알,,,斗,1급
隘,좁을 애,,,阜,1급
葯,꽃밥 약,,,艸,1급
堰,둑 언,,,土,1급
焰,불꽃 염,,,火,1급
軋,삐걱거릴 알,,,車,1급
靄,아지랑이 애:,,,雨,1급
攘,물리칠 양:,,,手,1급
諺,언문 언:,속담 언:,,言,1급
艶,고울 염:,,,色,1급
闇,숨을 암:,,,門,1급
扼,잡을 액,,,手,1급
恙,병 양:,근심할 양:,,心,1급
掩,가릴 엄:,,,手,1급
嬰,어린아이 영,,,女,1급
庵,암자 암,,,广,1급
腋,겨드랑이 액,,,肉,1급
釀,술빚을 양,,,酉,1급
奄,문득 엄:,,,大,1급
詣,이를[至] 예:,,,言,1급
昂,높을 앙,,,日,1급
縊,목맬 액,,,糸,1급
癢,가려울 양:,,,疒,1급
儼,엄연할 엄,,,人,1급
曳,끌 예:,,,曰,1급
怏,원망할 앙,,,心,1급
櫻,앵두 앵,,,木,1급
瘍,헐 양,,,疒,1급
繹,풀[解] 역,,,糸,1급
穢,더러울 예:,,,禾,1급
秧,모 앙,,,禾,1급
鶯,꾀꼬리 앵,,,鳥,1급
圄,옥 어,,,囗,1급
鳶,솔개 연,,,鳥,1급
裔,후손 예:,,,衣,1급
鴦,원앙 앙,,,鳥,1급
揶,야유할 야:,,,手,1급
禦,막을 어:,,,示,1급
捐,버릴 연:,,,手,1급
奧,깊을 오(:),,,大,1급
崖,언덕 애,,,山,1급
冶,풀무 야:,,,冫,1급
瘀,어혈질 어:,,,疒,1급
筵,대자리 연,,,竹,1급
懊,한할 오:,,,心,1급
伍,다섯사람 오:,,,人,1급
腕,팔뚝 완(:),,,肉,1급
邀,맞을 요,,,辵,1급
涌,물 솟을 용:,,,水,1급
猿,원숭이 원,,,犬,1급
寤,잠깰 오,,,宀,1급
阮,성(姓) 완:,,,阜,1급
饒,넉넉할 요,,,食,1급
虞,염려할 우,나라이름 우,,虍,1급
鴛,원앙 원,,,鳥,1급
蘊,쌓을 온:,,,艸,1급
頑,완고할 완,,,頁,1급
僥,요행 요,,,人,1급
迂,에돌 우,,,辵,1급
萎,시들 위,,,艸,1급
壅,막을 옹,,,土,1급
枉,굽을 왕:,,,木,1급
凹,오목할 요,,,凵,1급
寓,부칠[寄] 우:,,,宀,1급
揄,야유할 유,,,手,1급
訛,그릇될 와:,,,言,1급
矮,난쟁이 왜,,,矢,1급
拗,우길 요,,,手,1급
嵎,산굽이 우,,,山,1급
柚,유자 유,,,木,1급
渦,소용돌이 와,,,水,1급
巍,높고클 외,,,山,1급
夭,일찍죽을 요:,,,大,1급
隅,모퉁이 우,,,阜,1급
游,헤엄칠 유,,,水,1급
蝸,달팽이 와,,,虫,1급
猥,외람할 외:,,,犬,1급
踊,뛸 용:,,,足,1급
耘,김맬 운,,,耒,1급
鍮,놋쇠 유,,,金,1급
婉,순할 완:,아름다울 완:,,女,1급
擾,시끄러울 요,,,手,1급
蓉,연꽃 용,,,艸,1급
殞,죽을 운:,,,歹,1급
癒,병나을 유,,,疒,1급
宛,완연할 완,,,宀,1급
窈,고요할 요:,,,穴,1급
茸,풀날 용:,버섯 이:,,艸,1급
隕,떨어질 운:,,,阜,1급
諛,아첨할 유,,,言,1급
玩,즐길 완:,,,玉,1급
窯,기와가마 요,,,穴,1급
聳,솟을 용:,,,耳,1급
冤,원통할 원(:),,,冖,1급
諭,타이를 유,,,言,1급
蹂,밟을 유,,,足,1급
椅,의자 의,,,木,1급
靭,질길 인,,,革,1급
炙,구울 자,구울 적,,火,1급
雀,참새 작,,,隹,1급
喩,깨우칠 유,,,口,1급
擬,비길 의:,,,手,1급
咽,목구멍 인,목멜 열,삼킬 연,口,1급
煮,삶을 자(:),,,火,1급
鵲,까치 작,,,鳥,1급
愉,즐거울 유,,,心,1급
誼,정(情) 의,,,言,1급
湮,묻힐 인,,,水,1급
藉,깔 자:,핑계할 자:,,艸,1급
盞,잔 잔,,,皿,1급
宥,너그러울 유,,,宀,1급
餌,미끼 이:,,,食,1급
溢,넘칠 일,,,水,1급
瓷,사기그릇 자,,,瓦,1급
棧,사다리 잔,,,木,1급
絨,가는베 융,,,糸,1급
姨,이모 이,,,女,1급
佚,편안 일,질탕 질,,人,1급
炸,터질 작,,,火,1급
箴,경계 잠,,,竹,1급
戎,병장기 융,오랑캐 융,,戈,1급
痍,상처 이,,,疒,1급
剩,남을 잉:,,,刀,1급
勺,구기 작,,,勹,1급
簪,비녀 잠,,,竹,1급
蔭,그늘 음,,,艸,1급
爾,너 이:,,,爻,1급
孕,아이밸 잉:,,,子,1급
灼,불사를 작,,,火,1급
檣,돛대 장,,,木,1급
揖,읍할 읍,,,手,1급
弛,늦출 이:,,,弓,1급
疵,허물 자,,,疒,1급
綽,너그러울 작,,,糸,1급
薔,장미 장,,,艸,1급
膺,가슴 응:,,,肉,1급
翌,다음날 익,,,羽,1급
仔,자세할 자,,,人,1급
嚼,씹을 작,,,口,1급
漿,즙 장,,,水,1급
毅,굳셀 의,,,殳,1급
蚓,지렁이 인,,,虫,1급
蔗,사탕수수 자,,,艸,1급
芍,함박꽃 작,,,艸,1급
醬,장 장:,,,酉,1급
杖,지팡이 장(:),,,木,1급
詛,저주할 저:,,,言,1급
餞,보낼 전:,,,食,1급
煎,달일 전(:),,,火,1급
錠,덩이 정,,,金,1급
匠,장인 장,,,匚,1급
躇,머뭇거릴 저,,,足,1급
顫,떨 전:,,,頁,1급
澱,앙금 전:,,,水,1급
挺,빼어날 정,,,手,1급
仗,의장(儀仗) 장,,,人,1급
邸,집 저:,,,邑,1급
顚,엎드러질 전:,이마 전:,,頁,1급
剪,가위 전(:),,,刀,1급
町,밭두둑 정,,,田,1급
齋,재계할 재,집 재,,齊,1급
觝,씨름 저:,,,角,1급
銓,사람가릴 전(:),,,金,1급
氈,담(毯) 전:,,,毛,1급
睛,눈동자 정,,,目,1급
滓,찌끼 재,,,水,1급
嫡,정실 적,,,女,1급
輾,돌아누울 전:,,,車,1급
悛,고칠 전:,,,心,1급
碇,닻 정,,,石,1급
錚,쇳소리 쟁,,,金,1급
謫,귀양갈 적,,,言,1급
纏,얽을 전,,,糸,1급
篆,전자(篆字) 전:,,,竹,1급
穽,함정 정,,,穴,1급
狙,원숭이 저:,엿볼 저:,,犬,1급
狄,오랑캐 적,,,犬,1급
栓,마개 전,,,木,1급
奠,정할 전:,제사 전:,,大,1급
釘,못 정,,,金,1급
豬,돼지 저,,,豕,1급
迹,자취 적,,,辵,1급
箭,살[矢] 전:,,,竹,1급
截,끊을 절,,,戈,1급
靖,편안할 정(:),,,靑,1급
箸,젓가락 저,,,竹,1급
塡,메울 전,,,土,1급
廛,가게 전:,,,广,1급
霑,젖을 점,,,雨,1급
幀,그림족자 정,,,巾,1급
咀,씹을 저:,,,口,1급
箋,기록할 전,,,竹,1급
癲,미칠 전:,,,疒,1급
粘,붙을 점,,,米,1급
酊,술취할 정,,,酉,1급
啼,울 제,,,口,1급
曹,무리 조,,,曰,1급
爪,손톱 조,,,爪,1급
輳,몰려들 주,,,車,1급
竣,마칠 준:,,,立,1급
梯,사다리 제,,,木,1급
棗,대추 조,,,木,1급
眺,볼 조:,,,目,1급
誅,벨 주,,,言,1급
樽,술통 준,,,木,1급
悌,공손할 제:,,,心,1급
粗,거칠 조,,,米,1급
簇,가는대[小竹] 족,,,竹,1급
做,지을 주,,,人,1급
蠢,꾸물거릴 준:,,,虫,1급
蹄,굽 제,,,足,1급
肇,비롯할 조:,,,聿,1급
猝,갑자기 졸,,,犬,1급
胄,자손 주,,,肉,1급
櫛,빗 즐,,,木,1급
詔,조서 조:,,,言,1급
遭,만날 조,,,辵,1급
踵,발꿈치 종,,,足,1급
呪,빌 주:,,,口,1급
葺,기울 즙,,,艸,1급
藻,마름 조:,,,艸,1급
槽,구유 조,,,木,1급
慫,권할 종,,,心,1급
嗾,부추길 주,,,口,1급
汁,즙 즙,,,水,1급
躁,조급할 조,,,足,1급
繰,고치켤 조,,,糸,1급
腫,종기 종:,,,肉,1급
廚,부엌 주,,,广,1급
咫,여덟치 지,,,口,1급
阻,막힐 조,,,阜,1급
糟,지게미 조,,,米,1급
踪,자취 종,,,足,1급
紂,주임금 주,,,糸,1급
摯,잡을 지,,,手,1급
凋,시들 조,,,冫,1급
稠,빽빽할 조,,,禾,1급
挫,꺾을 좌:,,,手,1급
紬,명주 주,,,糸,1급
枳,탱자 지,탱자 기,,木,1급
嘲,비웃을 조,,,口,1급
漕,배로실어나를 조,,,水,1급
躊,머뭇거릴 주:,,,足,1급
註,글뜻풀 주:,,,言,1급
祉,복(福) 지,,,示,1급
肢,팔다리 지,,,肉,1급
朕,나 짐:,,,月,1급
纂,모을 찬:,,,糸,1급
槍,창 창,,,木,1급
漲,넘칠 창:,,,水,1급
嗔,성낼 진,,,口,1급
斟,짐작할 짐,,,斗,1급
饌,반찬 찬:,,,食,1급
脹,부을 창:,,,肉,1급
寨,목책(木柵) 채,,,宀,1급
疹,마마 진,,,疒,1급
澄,맑을 징,,,水,1급
篡,빼앗을 찬:,,,竹,1급
娼,창녀 창(:),,,女,1급
柵,울타리 책,,,木,1급
帙,책권차례 질,,,巾,1급
叉,갈래 차,,,又,1급
擦,문지를 찰,,,手,1급
猖,미쳐날뛸 창,,,犬,1급
凄,쓸쓸할 처,,,冫,1급
桎,차꼬 질,,,木,1급
嗟,탄식할 차:,,,口,1급
塹,구덩이 참,,,土,1급
廠,공장 창,,,广,1급
瘠,여윌 척,,,疒,1급
膣,음도 질,,,肉,1급
蹉,미끄러질 차,,,足,1급
站,역(驛)마을 참(:),,,立,1급
瘡,부스럼 창,,,疒,1급
滌,씻을 척,,,水,1급
叱,꾸짖을 질,,,口,1급
搾,짤 착,,,手,1급
僭,주제넘을 참:,,,人,1급
倡,광대 창:,,,人,1급
脊,등마루 척,,,肉,1급
跌,거꾸러질 질,,,足,1급
窄,좁을 착,,,穴,1급
懺,뉘우칠 참,,,心,1급
艙,부두 창,,,舟,1급
擲,던질 척,,,手,1급
迭,갈마들 질,,,辵,1급
鑿,뚫을 착,,,金,1급
讒,참소할 참,,,言,1급
菖,창포 창,,,艸,1급
闡,밝힐 천:,,,門,1급
嫉,미워할 질,,,女,1급
撰,지을 찬:,,,手,1급
讖,예언 참,,,言,1급
愴,슬플 창:,,,心,1급
穿,뚫을 천:,,,穴,1급
擅,멋대로할 천:,,,手,1급
疊,거듭 첩,,,田,1급
蕉,파초 초,,,艸,1급
撮,모을 촬,사진찍을 촬,,手,1급
椎,쇠몽치 추,등골 추,,木,1급
喘,숨찰 천:,,,口,1급
牒,편지 첩,,,片,1급
樵,나무할 초,,,木,1급
槌,칠[擊] 추,방망이 퇴,,木,1급
黜,내칠 출,,,黑,1급
轍,바퀴자국 철,,,車,1급
捷,빠를 첩,,,手,1급
梢,나무끝 초,,,木,1급
樞,지도리 추,,,木,1급
贅,혹 췌:,,,貝,1급
綴,엮을 철,,,糸,1급
涕,눈물 체,,,水,1급
稍,점점 초,,,禾,1급
芻,꼴 추,,,艸,1급
悴,파리할 췌:,,,心,1급
凸,볼록할 철,,,凵,1급
諦,살필 체,,,言,1급
炒,볶을 초,,,火,1급
墜,떨어질 추,,,土,1급
膵,췌장 췌:,,,肉,1급
籤,제비(점대) 첨,,,竹,1급
貂,담비 초,,,豸,1급
囑,부탁할 촉,,,口,1급
鰍,미꾸라지 추,,,魚,1급
萃,모을 췌:,,,艸,1급
僉,다 첨,여러 첨,,人,1급
礁,암초 초,,,石,1급
忖,헤아릴 촌:,,,心,1급
鎚,쇠망치 추,,,金,1급
娶,장가들 취:,,,女,1급
諂,아첨할 첨:,,,言,1급
硝,화약 초,,,石,1급
叢,떨기 총,모일 총,,又,1급
酋,우두머리 추,,,酉,1급
翠,푸를 취:,물총새 취:,,羽,1급
帖,문서 첩,,,巾,1급
憔,파리할 초,,,心,1급
塚,무덤 총,,,土,1급
錐,송곳 추,,,金,1급
脆,연할 취:,,,肉,1급
貼,붙일 첩,,,貝,1급
醋,초 초,,,酉,1급
寵,사랑할 총:,,,宀,1급
錘,저울추 추,,,金,1급
惻,슬플 측,,,心,1급
幟,기(旗) 치,,,巾,1급
砧,다듬잇돌 침:,,,石,1급
鐸,방울 탁,,,金,1급
苔,이끼 태,,,艸,1급
褪,바랠[褪色] 퇴:,,,衣,1급
嗤,비웃을 치,,,口,1급
蟄,숨을 칩,,,虫,1급
呑,삼킬 탄,,,口,1급
跆,밟을 태,,,足,1급
腿,넓적다리 퇴:,,,肉,1급
痔,치질 치,,,疒,1급
秤,저울 칭,,,禾,1급
坦,평탄할 탄:,,,土,1급
汰,일[淘] 태,,,水,1급
套,씌울 투,,,大,1급
侈,사치할 치,,,人,1급
駝,낙타 타,,,馬,1급
憚,꺼릴 탄,,,心,1급
撐,버틸 탱,,,手,1급
妬,샘낼 투,,,女,1급
熾,성할 치,,,火,1급
楕,길고둥글 타:,,,木,1급
綻,터질 탄:,,,糸,1급
攄,펼 터:,,,手,1급
慝,사특할 특,,,心,1급
癡,어리석을 치,,,疒,1급
惰,게으를 타:,,,心,1급
眈,노려볼 탐,,,目,1급
慟,서러워할 통:,,,心,1급
巴,꼬리 파,,,己,1급
緻,빽빽할 치,,,糸,1급
唾,침[涎] 타:,,,口,1급
搭,탈[乘] 탑,,,手,1급
桶,통(桶) 통,,,木,1급
爬,긁을 파,,,爪,1급
馳,달릴 치,,,馬,1급
陀,비탈질 타,부처 타,,阜,1급
宕,호탕할 탕:,,,宀,1급
筒,통(筒) 통,,,竹,1급
琶,비파 파,,,玉,1급
勅,칙서 칙,,,力,1급
舵,키[正船木] 타,,,舟,1급
蕩,방탕할 탕:,,,艸,1급
頹,무너질 퇴,,,頁,1급
芭,파초 파,,,艸,1급
鍼,침(鍼) 침,,,金,1급
擢,뽑을 탁,,,手,1급
笞,볼기칠 태,,,竹,1급
堆,쌓을 퇴:,,,土,1급
跛,절름발이 파,비스듬히설 피:,,足,1급
婆,할미 파,,,女,1급
愎,강퍅할 퍅,,,心,1급
褒,기릴 포,,,衣,1급
瀑,폭포 폭,소나기 포,,水,1급
乏,모자랄 핍,,,丿,1급
辦,힘들일 판,,,辛,1급
鞭,채찍 편,,,革,1급
袍,도포 포,,,衣,1급
豹,표범 표,,,豸,1급
霞,노을 하,,,雨,1급
沛,비쏟아질 패:,,,水,1급
騙,속일 편,,,馬,1급
匍,길 포,,,勹,1급
慓,급할 표,,,心,1급
遐,멀 하,,,辵,1급
牌,패(牌) 패,,,片,1급
貶,낮출 폄:,,,貝,1급
脯,포(脯) 포,,,肉,1급
飄,나부낄 표,,,風,1급
蝦,두꺼비 하,새우 하,,虫,1급
悖,거스를 패:,,,心,1급
萍,부평초(浮萍草) 평,,,艸,1급
泡,거품 포,,,水,1급
剽,겁박할 표,,,刀,1급
瑕,허물 하,,,玉,1급
唄,염불소리 패:,,,口,1급
斃,죽을 폐:,,,攴,1급
圃,채마밭 포,,,囗,1급
稟,여쭐 품:,,,禾,1급
壑,구렁 학,,,土,1급
佩,찰[帶] 패:,,,人,1급
陛,대궐섬돌 폐:,,,阜,1급
哺,먹일 포:,,,口,1급
諷,풍자할 풍,,,言,1급
謔,희롱할 학,,,言,1급
稗,피[穀類] 패:,,,禾,1급
疱,물집 포:,,,疒,1급
咆,고함지를[咆哮] 포,,,口,1급
披,헤칠 피,,,手,1급
瘧,학질(瘧疾) 학,,,疒,1급
膨,불을 팽,,,肉,1급
庖,부엌 포,,,广,1급
蒲,부들 포,,,艸,1급
疋,필(匹) 필,,,疋,1급
罕,드물 한:,,,网,1급
澎,물소리 팽,,,水,1급
逋,도망갈 포,,,辵,1급
曝,쪼일 폭,쪼일 포,,日,1급
逼,핍박할 핍,,,辵,1급
悍,사나울 한:,,,心,1급
澣,빨래할 한,열흘 한,,水,1급
蛤,조개 합,,,虫,1급
邂,우연히만날 해:,,,辵,1급
俠,의기로울 협,,,人,1급
瑚,산호 호,,,玉,1급
轄,다스릴 할,,,車,1급
缸,항아리 항,,,缶,1급
劾,꾸짖을 핵,,,力,1급
挾,낄 협,,,手,1급
琥,호박(琥珀) 호:,,,玉,1급
緘,봉할 함,,,糸,1급
肛,항문 항,,,肉,1급
嚮,길잡을 향:,,,口,1급
狹,좁을 협,,,犬,1급
渾,흐릴 혼:,,,水,1급
涵,젖을 함,,,水,1급
諧,화할 해,,,言,1급
饗,잔치할 향:,,,食,1급
頰,뺨 협,,,頁,1급
笏,홀(笏) 홀,,,竹,1급
檻,난간 함:,,,木,1급
骸,뼈 해,,,骨,1급
噓,불[吹] 허,,,口,1급
荊,가시 형,,,艸,1급
惚,황홀할 홀,,,心,1급
喊,소리칠 함:,,,口,1급
楷,본보기 해,,,木,1급
墟,터 허,,,土,1급
彗,살별 혜:,,,彐,1급
哄,떠들썩할 홍,,,口,1급
函,함(函) 함,,,凵,1급
偕,함께 해,,,人,1급
歇,쉴 헐,,,欠,1급
醯,식혜 혜,,,酉,1급
訌,어지러울 홍,,,言,1급
銜,재갈 함,,,金,1급
駭,놀랄 해,,,馬,1급
衒,자랑할 현:,,,行,1급
糊,풀칠할 호,,,米,1급
虹,무지개 홍,,,虫,1급
鹹,짤[鹽味] 함,,,鹵,1급
懈,게으를 해:,,,心,1급
眩,어지러울 현:,,,目,1급
弧,활 호,,,弓,1급
宦,벼슬 환:,,,宀,1급
盒,합(盒) 합,,,皿,1급
咳,기침 해,,,口,1급
絢,무늬 현:,,,糸,1급
狐,여우 호,,,犬,1급
鰥,홀아비 환,,,魚,1급
喚,부를 환,,,口,1급
惶,두려울 황,,,心,1급
爻,사귈 효,가로그을 효,,爻,1급
卉,풀 훼,,,十,1급
欠,하품 흠:,,,欠,1급
驩,기뻐할 환,,,馬,1급
賄,재물 회:,뇌물 회:,,貝,1급
酵,삭힐 효:,,,酉,1급
麾,기(旗) 휘,,,麻,1급
洽,흡족할 흡,,,水,1급
猾,교활할 활,,,犬,1급
誨,가르칠 회:,,,言,1급
哮,성낼 효,,,口,1급
彙,무리 휘,,,彐,1급
恰,흡사할 흡,,,心,1급
闊,넓을 활,,,門,1급
蛔,회충 회,,,虫,1급
逅,만날 후:,,,辵,1급
諱,숨길 휘,꺼릴 휘,,言,1급
犧,희생 희,,,牛,1급
煌,빛날 황,,,火,1급
膾,회(膾) 회:,,,肉,1급
朽,썩을 후:,,,木,1급
恤,불쌍할 휼,,,心,1급
詰,꾸짖을 힐,,,言,1급
徨,헤맬 황,,,彳,1급
繪,그림 회:,,,糸,1급
嗅,맡을 후:,,,口,1급
兇,흉악할 흉,,,儿,1급
遑,급할 황,,,辵,1급
晦,그믐 회,,,日,1급
吼,울부짖을 후:,,,口,1급
洶,용솟음칠 흉,,,水,1급
恍,황홀할 황,,,心,1급
徊,머뭇거릴 회,,,彳,1급
暈,무리[光環] 훈,,,日,1급
欣,기쁠 흔,,,欠,1급
慌,어리둥절할 황,,,心,1급
恢,넓을 회,,,心,1급
喧,지껄일 휜,,,口,1급
痕,흔적 흔,,,疒,1급
凰,봉황 황,,,几,1급
嚆,울릴 효,,,口,1급
喙,부리 훼,,,口,1급
歆,흠향할 흠,,,欠,1급
